movie_id,box_office,show_count,watch_people,hot_score,comment_count
1,3682620.0,1612,118341,79.0,14284
2,4649154.0,9063,144209,76.7,21362
3,4485752.0,3517,130265,36.5,9990
4,4259862.0,9941,69068,92.7,6521
5,2782971.0,2119,185843,68.7,19804
6,3523627.0,1975,108581,54.7,13444
7,2483113.0,9094,60947,81.4,29507
8,5250740.0,366,146480,47.5,12203
9,4098608.0,4768,89811,77.2,18516
10,5084816.0,990,190665,32.7,4775
11,2796323.0,5482,41606,87.1,27293
12,5364464.0,8710,47974,60.5,7586
13,4509781.0,4687,161099,73.3,28440
14,3241777.0,8799,134804,45.0,2245
15,2859987.0,878,176338,76.0,14614
16,3676200.0,5050,136442,82.5,11342
17,3681631.0,2176,50471,62.2,16539
18,3983435.0,3026,14009,72.0,14573
19,4125559.0,5682,90550,61.0,23842
20,2793351.0,2867,83720,90.8,257
21,4279195.0,4553,33299,63.9,1593
22,2579863.0,7537,57998,87.2,4942
23,3166409.0,1808,150457,84.5,13122
24,3586296.0,2090,16813,57.9,13052
25,3749557.0,6132,83811,45.6,29762
26,4868275.0,3763,21636,57.6,13783
27,3668183.0,7118,199670,86.2,9559
28,4513141.0,5945,166161,45.5,6727
29,4496758.0,5268,11695,65.7,5923
30,3295467.0,3498,187367,84.8,6842
31,4915373.0,6695,175961,54.0,12749
32,2617391.0,9799,126492,73.7,28336
33,3242784.0,7415,106919,46.7,15345
34,5832362.0,1434,137182,37.4,28742
35,5372462.0,9493,29687,84.0,18007
36,4136443.0,5009,5048,36.7,25824
37,3006261.0,5271,17967,48.5,3226
38,2671306.0,5588,18308,88.1,3309
39,4380475.0,5178,181559,53.6,6681
40,3433397.0,156,101990,96.2,11316
41,3327142.0,3074,77082,96.6,9730
42,3842956.0,325,133565,48.2,24897
43,2486160.0,5392,33199,32.8,7496
44,5079307.0,8633,68258,77.9,18082
45,3420647.0,7203,132898,60.7,12919
46,4692478.0,2250,27045,36.9,29799
47,3847875.0,9984,92532,78.1,12791
48,3327644.0,3777,89202,32.1,24584
49,4338771.0,2702,185063,89.2,28718
50,3599201.0,2343,46026,39.4,6765
51,5426461.0,8120,37374,38.7,23160
52,5360611.0,8291,29849,41.9,26828
53,5051600.0,2264,149588,95.3,16261
54,4888270.0,8560,180924,77.1,19117
55,4249724.0,3688,68277,84.5,3714
56,5454886.0,3726,144507,57.0,16835
57,2819248.0,6042,109209,52.9,11783
58,3597332.0,1260,182052,45.9,13761
59,2811632.0,1191,146652,62.7,4210
60,3784613.0,8504,160766,67.5,4315
61,3995518.0,783,194815,73.0,12489
62,2995592.0,9893,115744,47.5,5490
63,4430549.0,5517,23481,94.5,23907
64,4254601.0,9925,29165,41.5,11876
65,3470668.0,6596,147748,95.7,24979
66,3630179.0,4132,186789,31.0,13367
67,3440268.0,1377,66993,62.7,27058
68,5206309.0,6266,23870,52.7,4666
69,3407694.0,3031,160769,60.5,9402
70,5913541.0,7487,63235,68.8,20334
71,5208270.0,5264,50983,59.6,13914
72,3021980.0,3782,83838,58.2,6925
73,2690020.0,3991,150479,79.8,18745
74,5123692.0,3919,80142,76.6,18373
75,4803483.0,1872,50812,86.7,14879
76,5006086.0,9986,19489,47.0,17472
77,5369370.0,2612,52557,71.4,21528
78,3088788.0,6441,22371,69.8,16350
79,4095884.0,4592,32431,55.1,10108
80,2659206.0,911,20505,63.1,10530
81,5163295.0,2348,71262,51.3,6324
82,4493954.0,4353,144307,39.6,7034
83,3947726.0,7472,21421,44.5,15948
84,2357147.0,6042,96068,37.2,12795
85,3527582.0,5166,164764,76.4,16939
86,3507148.0,4454,118757,74.9,19393
