movie_id,movie_name,movie_type,movie_area,release_year,duration,director,score_avg,score_count
1,影片0001,"动作,喜剧,悬疑",美国,2017,87,导演189,6.1,7717
2,影片0002,"剧情,动作,动画",中国大陆,2010,81,导演56,9.2,16247
3,影片0003,"冒险,喜剧,科幻",英国,2017,127,导演151,8.0,19231
4,影片0004,爱情,英国,2020,105,导演40,7.3,15110
5,影片0005,"动作,冒险",英国,2013,115,导演89,4.9,40565
6,影片0006,"喜剧,纪录片",中国香港,2022,80,导演142,4.9,20213
7,影片0007,"冒险,惊悚,科幻",中国香港,2011,154,导演59,4.3,19965
8,影片0008,科幻,中国香港,2022,105,导演117,8.8,42660
9,影片0009,"爱情,惊悚",韩国,2016,155,导演69,7.3,46994
10,影片0010,"动作,爱情,科幻",中国台湾,2024,118,导演70,7.9,42943
11,影片0011,"剧情,科幻,惊悚",中国大陆,2017,175,导演9,4.1,21673
12,影片0012,"悬疑,动作",美国,2020,97,导演168,9.3,33717
13,影片0013,"纪录片,爱情",日本,2014,101,导演191,8.6,37789
14,影片0014,"悬疑,动画,剧情",韩国,2017,87,导演131,5.2,33343
15,影片0015,喜剧,中国香港,2014,150,导演41,5.0,45596
16,影片0016,"冒险,动作",英国,2022,146,导演120,5.0,35676
17,影片0017,"剧情,喜剧",中国香港,2018,168,导演165,5.7,23293
18,影片0018,悬疑,英国,2015,128,导演1,6.9,48323
19,影片0019,"悬疑,剧情,爱情",中国香港,2019,177,导演164,6.4,34270
20,影片0020,"科幻,爱情,惊悚",中国台湾,2010,146,导演83,5.6,33021
21,影片0021,动作,韩国,2019,100,导演15,7.4,16785
22,影片0022,"动作,冒险,纪录片",中国香港,2014,86,导演169,4.8,32148
23,影片0023,"爱情,悬疑,动画",美国,2016,161,导演80,5.6,27148
24,影片0024,"惊悚,纪录片,剧情",中国香港,2017,98,导演17,6.0,23156
25,影片0025,冒险,美国,2017,70,导演19,6.5,47389
26,影片0026,"喜剧,科幻,动作",中国大陆,2020,79,导演132,8.3,16597
27,影片0027,"纪录片,科幻",中国台湾,2025,101,导演122,5.1,27677
28,影片0028,动作,中国香港,2023,115,导演109,6.8,27941
29,影片0029,"喜剧,动作",中国大陆,2022,163,导演87,7.3,8161
30,影片0030,科幻,美国,2024,87,导演109,4.3,13025
31,影片0031,"纪录片,科幻",中国香港,2024,173,导演141,7.3,7416
32,影片0032,剧情,中国大陆,2012,166,导演61,4.9,11899
33,影片0033,"纪录片,冒险",美国,2022,77,导演43,4.4,25836
34,影片0034,动画,日本,2024,106,导演109,9.2,46651
35,影片0035,"剧情,纪录片,爱情",美国,2019,97,导演15,9.3,38957
36,影片0036,"剧情,喜剧,惊悚",中国大陆,2011,144,导演123,8.4,33954
37,影片0037,"爱情,喜剧,动作",中国台湾,2012,146,导演18,5.7,45250
38,影片0038,动画,中国香港,2017,144,导演153,4.5,3604
39,影片0039,"动作,动画,惊悚",日本,2016,155,导演184,7.8,21590
40,影片0040,悬疑,英国,2014,155,导演166,6.4,20660
41,影片0041,"惊悚,动作",中国大陆,2024,149,导演145,4.7,7552
42,影片0042,剧情,美国,2018,86,导演90,6.7,5508
43,影片0043,惊悚,日本,2015,126,导演140,4.2,47107
44,影片0044,"冒险,剧情",中国大陆,2019,154,导演27,9.0,9800
45,影片0045,"动作,冒险",中国台湾,2018,106,导演155,5.4,14803
46,影片0046,"惊悚,科幻,悬疑",法国,2018,178,导演14,7.6,7048
47,影片0047,"动画,悬疑,喜剧",中国大陆,2020,168,导演34,5.7,42753
48,影片0048,"爱情,纪录片",英国,2010,84,导演20,6.9,46286
49,影片0049,剧情,中国大陆,2021,144,导演142,7.0,10705
50,影片0050,"爱情,喜剧",日本,2021,171,导演11,5.0,24449
51,影片0051,科幻,中国香港,2021,169,导演144,9.3,27632
52,影片0052,"爱情,科幻,冒险",中国台湾,2023,73,导演46,8.3,49271
53,影片0053,"动画,科幻",日本,2015,170,导演180,9.2,8084
54,影片0054,"喜剧,纪录片",美国,2016,174,导演118,8.9,23915
55,影片0055,"科幻,冒险",中国大陆,2016,121,导演85,7.3,19258
56,影片0056,悬疑,韩国,2022,156,导演138,9.1,22702
57,影片0057,动作,日本,2015,144,导演68,4.5,3507
58,影片0058,冒险,英国,2021,163,导演81,5.1,29599
59,影片0059,"剧情,动作,动画",美国,2018,75,导演182,4.2,29577
60,影片0060,剧情,美国,2021,125,导演18,5.8,44531
61,影片0061,"冒险,惊悚",中国香港,2019,134,导演80,6.1,44705
62,影片0062,"惊悚,动画",日本,2014,94,导演108,5.5,44576
63,影片0063,"爱情,悬疑",英国,2010,108,导演74,8.6,14774
64,影片0064,"冒险,惊悚",法国,2024,126,导演173,6.0,15005
65,影片0065,"纪录片,爱情,动作",日本,2020,81,导演193,5.5,16392
66,影片0066,"悬疑,科幻,剧情",中国台湾,2010,75,导演63,7.0,32138
67,影片0067,"动作,纪录片,动画",美国,2022,133,导演103,4.8,16989
68,影片0068,喜剧,中国香港,2023,98,导演46,8.4,46607
69,影片0069,"纪录片,喜剧,科幻",中国香港,2024,87,导演119,4.4,44750
70,影片0070,"剧情,惊悚,纪录片",英国,2024,90,导演191,9.4,32108
71,影片0071,"悬疑,科幻",日本,2025,150,导演62,8.2,18996
72,影片0072,"动作,悬疑",美国,2018,112,导演82,5.1,36399
73,影片0073,爱情,中国台湾,2017,119,导演178,4.0,11014
74,影片0074,"科幻,动作,动画",英国,2020,139,导演120,8.5,28248
75,影片0075,科幻,英国,2022,168,导演150,7.9,46581
76,影片0076,冒险,英国,2025,70,导演91,8.0,20569
77,影片0077,"动画,剧情",美国,2025,98,导演70,8.2,29562
78,影片0078,"喜剧,动画",韩国,2022,162,导演43,4.4,31630
79,影片0079,冒险,中国大陆,2022,145,导演145,6.0,44450
80,影片0080,动作,英国,2014,180,导演119,4.6,12909
81,影片0081,悬疑,英国,2020,97,导演117,8.7,22420
82,影片0082,"动画,悬疑",英国,2018,176,导演21,7.4,31822
83,影片0083,剧情,中国大陆,2021,98,导演167,5.8,5496
84,影片0084,"喜剧,冒险,科幻",美国,2010,149,导演40,4.3,16633
85,影片0085,纪录片,中国香港,2016,129,导演180,5.7,17793
86,影片0086,"爱情,动作",中国台湾,2019,83,导演149,5.8,2682
87,影片0087,"冒险,动画",英国,2016,79,导演152,8.0,46260
88,影片0088,"科幻,动作,悬疑",中国香港,2011,114,导演137,7.5,29074
89,影片0089,"惊悚,动作,冒险",中国大陆,2023,175,导演126,8.9,7916
90,影片0090,"惊悚,纪录片",中国台湾,2023,92,导演188,6.6,35193
91,影片0091,"悬疑,剧情,纪录片",法国,2023,175,导演188,4.7,39828
92,影片0092,"惊悚,科幻",中国香港,2018,127,导演63,7.9,31455
93,影片0093,"冒险,动画,惊悚",中国大陆,2025,178,导演84,8.2,12917
94,影片0094,"科幻,惊悚",日本,2020,105,导演153,7.1,46952
95,影片0095,"剧情,喜剧",美国,2012,100,导演185,8.2,27635
96,影片0096,"剧情,科幻",法国,2025,127,导演5,6.7,7098
97,影片0097,"科幻,动画",美国,2019,154,导演149,6.9,25184
98,影片0098,"剧情,冒险",韩国,2023,165,导演141,6.4,22678
99,影片0099,"纪录片,悬疑",日本,2018,99,导演31,4.1,48270
100,影片0100,惊悚,中国香港,2015,94,导演56,4.6,49405
101,影片0101,"悬疑,剧情",日本,2013,176,导演50,4.2,20414
102,影片0102,惊悚,中国台湾,2019,71,导演182,7.5,36005
103,影片0103,悬疑,中国大陆,2011,140,导演75,5.7,46705
104,影片0104,纪录片,中国香港,2010,143,导演73,6.8,31762
105,影片0105,"纪录片,惊悚",中国台湾,2011,102,导演123,9.0,8476
106,影片0106,动画,法国,2012,143,导演162,5.4,45987
107,影片0107,爱情,中国台湾,2019,80,导演64,6.3,8762
108,影片0108,"动画,科幻,冒险",法国,2024,108,导演151,8.2,29103
109,影片0109,"冒险,喜剧",中国香港,2016,150,导演55,5.3,18343
110,影片0110,"动作,爱情,科幻",中国台湾,2012,90,导演1,4.4,27772
111,影片0111,"冒险,纪录片",日本,2011,99,导演74,5.6,47331
112,影片0112,"纪录片,动作",美国,2018,170,导演161,4.9,39652
113,影片0113,"科幻,动画,动作",美国,2014,104,导演37,9.1,5679
114,影片0114,爱情,日本,2019,126,导演32,8.4,31716
115,影片0115,"悬疑,动画,冒险",法国,2024,80,导演154,7.5,3612
116,影片0116,"惊悚,悬疑",中国大陆,2012,99,导演173,8.8,38696
117,影片0117,"喜剧,悬疑,冒险",中国台湾,2025,136,导演167,8.4,29981
118,影片0118,"爱情,动画",法国,2012,130,导演90,5.0,27761
119,影片0119,"惊悚,动作",中国台湾,2020,122,导演178,8.9,33471
120,影片0120,"动画,剧情",中国大陆,2024,81,导演81,7.0,17541
121,影片0121,"动作,动画",中国大陆,2024,122,导演14,8.4,13293
122,影片0122,"惊悚,纪录片,剧情",中国大陆,2016,104,导演141,8.9,9586
