user_id,user_gender,user_age,register_year,user_level
1,女,39,2020,VIP会员
2,男,53,2021,VIP会员
3,男,52,2020,VIP会员
4,女,37,2022,VIP会员
5,男,50,2018,VIP会员
6,女,64,2018,超级VIP
7,女,41,2021,普通会员
8,女,21,2024,VIP会员
9,女,58,2023,超级VIP
10,女,23,2022,VIP会员
11,女,36,2021,普通会员
12,男,58,2022,普通会员
13,男,49,2020,VIP会员
14,女,49,2021,超级VIP
15,男,49,2019,超级VIP
16,男,21,2020,普通会员
17,男,60,2019,VIP会员
18,男,20,2023,普通会员
19,男,36,2022,普通会员
20,女,30,2019,超级VIP
21,女,54,2023,普通会员
22,男,43,2018,普通会员
23,女,43,2025,VIP会员
24,男,51,2018,普通会员
25,男,23,2020,超级VIP
26,女,13,2025,普通会员
27,女,60,2025,超级VIP
28,女,27,2020,VIP会员
29,女,28,2022,VIP会员
30,女,52,2021,普通会员
31,男,64,2021,普通会员
32,男,26,2023,VIP会员
33,男,40,2024,VIP会员
34,男,15,2023,超级VIP
35,女,46,2020,普通会员
36,女,59,2022,VIP会员
37,女,46,2020,普通会员
38,女,25,2019,普通会员
39,男,21,2023,VIP会员
40,男,59,2020,超级VIP
41,男,13,2025,超级VIP
42,男,29,2019,普通会员
43,女,41,2018,超级VIP
44,女,40,2018,VIP会员
45,女,51,2020,VIP会员
46,女,57,2023,VIP会员
47,女,32,2025,普通会员
48,男,26,2019,VIP会员
49,女,63,2025,普通会员
50,男,55,2018,普通会员
51,女,22,2024,VIP会员
52,女,50,2024,普通会员
53,女,39,2022,VIP会员
54,男,57,2019,普通会员
55,男,24,2023,超级VIP
56,女,44,2025,普通会员
57,女,24,2020,超级VIP
58,女,34,2018,普通会员
59,女,52,2019,超级VIP
60,男,36,2022,普通会员
61,男,59,2018,普通会员
62,男,47,2025,普通会员
63,男,43,2021,VIP会员
64,女,59,2022,超级VIP
65,女,14,2024,超级VIP
66,女,49,2018,超级VIP
67,男,48,2024,超级VIP
68,女,26,2021,VIP会员
69,女,21,2021,超级VIP
70,女,62,2018,普通会员
71,男,16,2019,超级VIP
72,女,12,2018,普通会员
73,男,46,2020,普通会员
74,男,15,2023,普通会员
75,男,59,2020,普通会员
76,男,48,2023,VIP会员
77,男,45,2018,VIP会员
78,女,36,2019,VIP会员
79,男,12,2019,VIP会员
80,女,46,2020,VIP会员
81,女,64,2023,超级VIP
82,男,61,2019,VIP会员
83,男,48,2018,VIP会员
84,女,32,2018,超级VIP
85,女,44,2023,VIP会员
86,女,61,2018,普通会员
87,女,24,2019,VIP会员
88,男,27,2023,普通会员
89,男,56,2022,VIP会员
90,男,37,2021,普通会员
91,女,62,2018,超级VIP
92,女,21,2022,普通会员
93,女,50,2022,超级VIP
94,女,39,2022,VIP会员
95,女,36,2025,VIP会员
96,女,38,2019,VIP会员
97,男,57,2022,普通会员
98,男,12,2018,超级VIP
99,男,25,2025,VIP会员
100,男,40,2022,VIP会员
101,男,13,2025,普通会员
102,男,24,2020,普通会员
103,女,58,2021,普通会员
104,女,39,2020,超级VIP
105,男,25,2021,VIP会员
106,女,14,2019,VIP会员
107,女,19,2025,VIP会员
108,女,35,2025,超级VIP
109,女,64,2024,普通会员
110,男,56,2018,普通会员
111,男,34,2019,普通会员
112,女,22,2022,VIP会员
113,男,51,2021,超级VIP
114,男,31,2019,VIP会员
115,男,20,2024,超级VIP
116,女,26,2019,VIP会员
117,女,52,2023,超级VIP
118,男,53,2018,超级VIP
119,女,35,2025,VIP会员
120,女,33,2019,超级VIP
121,男,19,2021,超级VIP
122,男,24,2025,普通会员
123,女,29,2022,VIP会员
124,女,13,2019,超级VIP
125,男,52,2019,普通会员
126,女,57,2022,普通会员
127,女,23,2021,普通会员
128,女,59,2022,VIP会员
129,女,14,2019,VIP会员
130,女,27,2021,VIP会员
131,男,16,2018,VIP会员
132,女,24,2024,普通会员
133,女,30,2025,普通会员
134,男,42,2021,普通会员
135,男,46,2020,VIP会员
136,男,53,2025,VIP会员
137,女,38,2018,VIP会员
138,男,31,2019,超级VIP
139,女,51,2024,普通会员
140,女,36,2024,普通会员
141,男,64,2020,超级VIP
142,男,17,2018,VIP会员
143,女,44,2024,VIP会员
144,男,35,2021,普通会员
145,女,32,2021,普通会员
146,女,24,2019,VIP会员
147,男,44,2024,超级VIP
148,男,45,2024,普通会员
149,女,32,2024,超级VIP
150,女,25,2022,VIP会员
151,女,63,2024,VIP会员
152,男,23,2018,VIP会员
153,男,33,2023,超级VIP
154,男,15,2018,普通会员
155,女,46,2018,超级VIP
156,女,35,2024,超级VIP
157,男,28,2022,超级VIP
158,男,58,2018,超级VIP
159,女,26,2022,超级VIP
160,男,17,2020,VIP会员
161,男,40,2025,超级VIP
162,男,30,2018,VIP会员
163,男,20,2019,超级VIP
164,男,36,2025,普通会员
165,女,40,2019,普通会员
166,男,26,2022,普通会员
167,男,15,2025,普通会员
168,女,16,2025,VIP会员
169,女,41,2022,普通会员
170,女,52,2019,超级VIP
171,女,52,2018,普通会员
172,男,13,2018,普通会员
173,男,27,2018,超级VIP
174,男,58,2019,VIP会员
175,男,28,2018,普通会员
176,男,58,2021,超级VIP
177,男,18,2023,超级VIP
178,男,49,2020,VIP会员
179,女,21,2022,VIP会员
180,男,53,2025,超级VIP
181,女,30,2023,VIP会员
182,男,45,2022,VIP会员
183,男,35,2021,普通会员
184,女,33,2025,VIP会员
185,女,14,2019,VIP会员
186,女,59,2019,超级VIP
187,男,56,2018,超级VIP
188,男,26,2020,超级VIP
189,女,34,2024,普通会员
190,女,46,2024,超级VIP
191,男,20,2024,VIP会员
192,女,55,2019,VIP会员
193,男,58,2025,VIP会员
194,男,55,2024,超级VIP
195,女,34,2025,VIP会员
196,女,35,2025,VIP会员
197,女,50,2025,VIP会员
198,女,42,2021,超级VIP
199,男,14,2025,VIP会员
200,男,58,2024,超级VIP
201,男,24,2021,VIP会员
202,男,26,2021,VIP会员
203,女,61,2022,超级VIP
204,男,54,2020,VIP会员
205,女,47,2024,VIP会员
206,女,15,2025,普通会员
207,女,28,2024,普通会员
208,女,21,2019,VIP会员
209,男,20,2019,普通会员
210,男,12,2023,超级VIP
211,女,55,2020,超级VIP
212,男,22,2020,超级VIP
213,女,33,2025,VIP会员
214,男,15,2021,VIP会员
215,男,40,2019,超级VIP
216,男,38,2020,普通会员
217,男,34,2022,普通会员
218,女,30,2019,超级VIP
219,女,31,2025,普通会员
220,女,46,2024,VIP会员
221,男,19,2025,普通会员
222,女,51,2023,超级VIP
223,女,27,2022,普通会员
224,女,35,2018,超级VIP
225,女,18,2024,普通会员
226,女,41,2020,VIP会员
227,男,44,2024,普通会员
228,女,15,2019,超级VIP
229,男,21,2019,VIP会员
230,女,39,2025,普通会员
231,男,55,2019,超级VIP
232,女,19,2025,普通会员
233,男,29,2023,超级VIP
234,男,57,2018,VIP会员
235,男,45,2018,普通会员
236,男,17,2021,普通会员
237,女,14,2023,普通会员
238,男,31,2024,普通会员
239,男,42,2021,VIP会员
240,男,42,2022,普通会员
241,女,38,2023,VIP会员
242,女,32,2019,普通会员
243,男,25,2023,VIP会员
244,男,38,2022,超级VIP
245,男,34,2024,VIP会员
246,男,13,2021,VIP会员
247,男,26,2024,超级VIP
248,女,44,2024,VIP会员
249,男,15,2025,VIP会员
250,女,25,2023,普通会员
251,女,53,2018,普通会员
252,男,38,2023,普通会员
253,女,28,2025,普通会员
254,女,53,2024,超级VIP
255,女,63,2025,VIP会员
256,男,64,2021,VIP会员
257,男,31,2023,普通会员
258,女,29,2024,VIP会员
259,男,55,2023,普通会员
260,女,13,2018,超级VIP
261,女,24,2023,超级VIP
262,男,45,2022,普通会员
