user_id,movie_id,user_score,score_time
32952,2818,1.0,2022-04-09
17208,7701,1.0,2023-12-26
1725,3125,5.3,2020-05-13
44838,7643,1.3,2025-02-12
33501,3076,9.8,2022-03-09
17834,1275,3.0,2023-03-10
20903,1938,5.3,2020-05-12
43585,5259,1.6,2022-08-19
20785,2147,5.7,2020-07-10
7641,2285,4.4,2023-04-08
17054,3436,1.4,2022-03-15
2242,4742,4.0,2023-12-02
38397,4703,4.5,2022-10-09
12705,4735,9.9,2022-02-24
21697,5526,2.9,2025-01-18
43199,6733,5.9,2025-01-22
501,7401,9.9,2021-06-15
4395,672,8.1,2020-09-24
8300,5957,9.9,2022-03-16
14023,2140,9.7,2024-10-03
21587,812,5.4,2025-08-04
21709,6143,7.3,2024-10-24
46202,2544,2.0,2023-05-06
15535,6815,5.0,2024-09-28
31475,7644,8.3,2020-04-06
17303,5660,5.5,2022-06-01
34303,1416,7.3,2024-08-14
34782,4694,7.7,2025-09-15
17354,1956,3.3,2020-03-03
39604,1269,8.9,2025-08-12
31848,766,5.1,2021-09-23
1546,7987,2.9,2023-08-24
39664,1513,8.8,2023-03-24
44178,402,4.8,2025-02-12
3759,4454,7.8,2022-10-09
19479,575,5.9,2022-01-09
15572,1493,4.4,2020-04-16
48133,6583,8.3,2025-07-25
31416,5756,6.3,2024-08-03
7024,2982,4.5,2024-06-08
45396,565,2.0,2025-03-13
15889,7318,9.1,2021-08-24
15084,2962,1.3,2024-10-03
49122,6963,8.8,2023-10-14
29353,3502,4.2,2021-02-28
25110,769,6.8,2021-09-07
18074,4507,9.3,2020-03-08
27663,639,2.4,2023-01-24
24124,324,6.1,2021-12-18
45357,1874,7.9,2025-10-08
22122,7385,7.8,2020-12-19
20418,1001,5.7,2025-04-05
39594,5350,6.6,2021-03-14
10574,638,7.8,2022-11-18
46651,5411,8.6,2022-11-02
31820,6965,7.9,2020-08-04
12531,3035,4.2,2024-02-14
43192,2838,10.0,2024-10-22
3780,3145,4.9,2023-06-24
32817,4570,1.2,2025-08-24
21721,2356,4.3,2020-09-03
18231,3245,2.2,2023-11-23
23592,137,2.1,2023-02-15
4084,3351,3.5,2025-10-17
1947,4848,1.5,2022-07-13
32287,6772,7.2,2024-11-04
20793,5342,1.7,2024-12-11
28145,2099,2.8,2021-01-07
6168,5907,1.8,2023-09-15
13963,1552,1.6,2022-08-02
9223,718,3.4,2020-03-19
31614,5235,6.1,2020-09-17
16545,2736,9.7,2020-04-26
46707,4910,8.9,2025-09-07
20053,110,8.9,2021-04-12
27078,3433,2.6,2021-07-12
12396,7025,3.4,2022-09-11
43676,3579,1.7,2021-04-16
16458,4464,8.0,2025-09-10
33557,3335,1.6,2024-01-19
42346,5975,6.0,2023-06-09
36590,141,3.2,2025-08-02
49121,2397,3.2,2020-04-17
48793,7099,9.9,2025-12-27
28732,6085,7.8,2023-08-08
29857,1754,8.5,2023-12-27
5450,4993,6.1,2022-02-24
12519,5636,8.8,2025-12-28
41018,6443,6.8,2021-03-11
30943,2466,9.5,2021-01-06
11523,6908,3.5,2020-07-17
867,849,6.4,2025-01-25
20136,4646,7.2,2021-05-28
11976,758,4.5,2021-05-25
15424,6453,8.9,2023-02-28
27510,6152,9.8,2020-09-17
8804,4869,5.4,2025-01-27
46147,5844,4.5,2021-06-13
36717,5495,5.2,2022-05-12
45879,4788,8.7,2025-08-18
40392,7318,6.8,2025-03-18
37260,1617,1.4,2021-10-01
15536,4196,5.9,2021-08-14
8730,6150,1.2,2021-09-07
29627,555,8.0,2023-03-24
1324,6982,4.0,2021-07-22
30715,2520,5.2,2021-07-25
7091,3438,8.2,2025-09-18
41885,4935,1.4,2022-12-18
16945,5769,2.4,2022-10-21
10332,3472,4.6,2021-09-25
34673,5908,3.1,2024-09-07
45325,1553,4.0,2022-04-02
38890,4662,10.0,2023-11-26
10407,1065,8.4,2020-06-25
10071,5467,9.0,2022-08-14
26105,3604,9.4,2020-02-13
16389,1974,4.1,2022-10-21
21216,178,3.7,2025-04-26
45656,7054,3.1,2021-05-09
16109,823,8.5,2025-09-06
33871,1394,7.1,2023-04-02
44857,2628,3.1,2020-11-22
2022,5754,4.4,2021-06-23
17326,2834,5.6,2020-11-25
49880,7889,5.8,2020-03-06
12658,3984,9.0,2024-06-12
44659,508,4.4,2025-12-05
27994,2582,9.2,2020-08-22
37571,1159,5.0,2020-09-20
22790,2403,7.7,2022-12-21
10792,2301,9.4,2021-05-17
6535,7090,9.2,2022-11-04
47670,1838,1.5,2020-04-28
41951,7536,2.9,2021-08-21
23351,2290,5.3,2021-07-03
48225,5176,4.9,2021-01-26
2469,1807,6.8,2023-01-07
46248,7460,9.5,2023-07-06
24787,1502,2.0,2020-07-15
41159,1338,5.1,2021-01-11
40143,212,2.7,2020-02-02
28650,4273,9.0,2022-11-24
18942,4594,9.7,2021-06-26
18969,2633,5.3,2020-01-26
15339,1859,1.9,2022-11-23
16244,3298,8.1,2021-01-10
46987,5413,7.3,2023-01-03
26919,7252,4.2,2021-12-21
41679,1979,9.0,2021-02-24
37284,2099,9.8,2023-06-19
23153,2253,6.0,2022-10-12
30794,6606,6.1,2020-09-26
16752,7705,3.7,2020-06-04
38701,7026,6.3,2025-08-18
36262,3223,5.0,2021-07-09
37343,4579,3.7,2024-03-18
35618,7803,1.6,2023-03-09
43190,1382,3.3,2022-11-22
33263,6964,2.8,2024-01-03
12708,4757,5.9,2025-11-22
26671,6217,6.4,2022-10-28
23686,1705,6.5,2025-01-01
23693,5799,4.5,2020-07-21
33728,2034,4.8,2022-08-19
36243,6956,8.5,2023-10-12
375,4249,5.3,2023-02-08
30800,7080,9.9,2020-02-04
34545,7339,5.0,2022-03-26
1734,3078,6.8,2021-05-05
14831,7750,1.5,2022-11-23
31839,2660,6.9,2021-04-25
20605,895,8.7,2024-01-02
6154,6485,9.5,2023-08-28
23304,4111,10.0,2020-02-20
17208,4489,3.5,2024-01-09
9802,3025,6.2,2020-09-27
20898,3564,5.1,2022-12-03
20639,475,6.1,2022-05-10
27863,6800,2.4,2022-05-27
19521,4383,8.7,2022-02-21
22733,734,9.2,2022-05-01
45419,6584,5.0,2022-09-04
23561,6675,3.5,2024-11-07
298,1583,2.3,2025-02-10
42923,2053,7.2,2021-12-18
49678,5691,3.8,2022-05-04
40079,6852,9.2,2023-10-06
45090,3741,7.0,2021-12-13
17313,6426,6.8,2025-11-16
43846,5192,6.0,2024-01-06
40491,6425,1.4,2022-05-06
32713,3299,9.4,2025-09-28
23275,8000,6.7,2025-11-14
38988,641,9.9,2021-02-26
34106,4766,5.8,2025-11-24
36075,6026,7.4,2021-06-28
3633,7306,1.5,2024-08-21
24117,2755,6.7,2023-10-07
5699,2588,7.9,2023-02-27
9362,6458,8.0,2024-10-20
44332,4742,7.9,2021-03-20
8510,4777,3.0,2025-08-13
8660,390,9.8,2023-03-04
9432,2383,10.0,2024-05-12
36665,7923,1.7,2023-01-02
18596,3760,9.4,2022-01-25
31029,4879,3.6,2025-12-19
16285,6894,7.2,2025-06-25
5528,5614,4.0,2021-06-19
2159,5221,9.7,2020-10-18
24501,2428,1.9,2020-07-25
19707,7561,5.5,2025-07-13
15640,7281,4.9,2024-08-03
31844,6781,3.9,2023-12-19
30511,1409,6.8,2020-11-04
31848,2540,2.2,2020-08-10
27401,4636,7.4,2020-03-20
26668,1042,9.8,2020-06-23
1964,5262,8.2,2021-11-22
9381,1993,8.7,2025-05-01
9183,3044,4.2,2025-01-02
37454,4320,3.9,2025-09-21
45906,3861,5.7,2022-12-04
23092,6841,1.4,2020-11-01
32717,6055,9.5,2022-02-28
29818,303,2.3,2020-12-05
25292,2840,9.1,2023-06-27
28490,5354,1.8,2023-12-04
40443,1836,8.4,2021-01-24
14835,536,2.4,2020-11-11
39869,3152,1.3,2020-12-19
5765,4945,7.5,2022-02-20
19611,6711,3.5,2024-10-03
8943,1446,7.4,2023-12-11
11936,5998,6.0,2021-09-09
32153,6761,2.0,2023-10-08
39352,7794,9.4,2024-03-26
32581,84,5.1,2021-02-03
20951,3460,7.6,2024-03-26
24262,4566,5.5,2022-02-18
24553,7614,6.4,2025-09-15
9448,1241,3.7,2020-03-04
29525,2704,2.8,2021-06-23
30376,7461,5.9,2023-07-10
27526,5339,5.0,2022-10-16
20873,4533,4.5,2024-01-13
968,4488,7.1,2021-07-18
45124,5032,7.2,2025-10-01
3872,4283,1.4,2025-05-10
5933,2421,4.0,2022-06-07
11350,2947,4.7,2024-02-22
42847,2668,1.9,2020-12-04
26389,541,3.1,2020-10-20
12896,1734,1.5,2020-05-27
31476,3448,10.0,2023-10-20
33083,5108,7.6,2025-08-08
42254,7001,1.8,2025-02-15
42307,947,1.2,2024-07-21
26048,5448,7.5,2021-05-24
36147,2988,5.0,2024-02-15
49101,2512,8.1,2021-01-19
24528,1969,9.3,2025-03-17
42862,2646,6.4,2024-06-02
44095,399,2.7,2025-05-11
